"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-01","2019","01","01","†","1.5","","1.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-02","2019","01","02","†","7.0","","-9.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-03","2019","01","03","†","3.0","","4.5","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-04","2019","01","04","†","9.0","","-1.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-05","2019","01","05","†","4.5","","-1.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-06","2019","01","06","†","3.0","","0.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-07","2019","01","07","†","9.0","","-8.0","","0.5","","17.5","","0.0","","3.4","","0.0","","3.4","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-08","2019","01","08","†","2.0","","-5.0","","-1.5","","19.5","","0.0","","4.0","","0.0","","4.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-09","2019","01","09","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-10","2019","01","10","†","-4.0","","-8.0","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-11","2019","01","11","†","-4.5","","-13.5","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-12","2019","01","12","†","-4.0","","-12.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-13","2019","01","13","†","-4.0","","-10.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-14","2019","01","14","†","0.0","","-10.5","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-15","2019","01","15","†","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-16","2019","01","16","†","0.5","","-3.0","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-17","2019","01","17","†","-2.5","","-14.0","","-8.3","","26.3","","0.0","","0.0","","2.0","","1.8","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-18","2019","01","18","†","0.0","","-11.0","","-5.5","","23.5","","0.0","","0.0","","0.6","","0.6","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-19","2019","01","19","†","-11.0","","-13.5","","-12.3","","30.3","","0.0","","0.0","","12.0","","10.0","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-20","2019","01","20","†","-11.5","","-18.0","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-21","2019","01","21","†","-9.0","","-21.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-22","2019","01","22","†","2.0","","-14.5","","-6.3","","24.3","","0.0","","0.0","T","4.0","","6.0","","10","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-23","2019","01","23","†","6.0","","-10.0","","-2.0","","20.0","","0.0","","7.4","","0.0","T","7.4","","9","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-24","2019","01","24","†","0.0","","-2.0","","-1.0","","19.0","","0.0","","0.0","","0.6","","0.6","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-25","2019","01","25","†","-4.0","","-7.5","","-5.8","","23.8","","0.0","","0.0","","0.0","T","1.0","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-26","2019","01","26","†","-6.0","","-15.0","","-10.5","","28.5","","0.0","","0.0","","9.0","","8.0","","1","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-27","2019","01","27","†","-7.0","","-11.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-28","2019","01","28","†","-2.0","","-19.0","","-10.5","","28.5","","0.0","","0.0","","26.0","","22.4","","11","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-29","2019","01","29","†","-4.0","","-17.0","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","","25","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-30","2019","01","30","†","-15.0","","-21.5","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-01-31","2019","01","31","†","-12.5","","-24.0","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-01","2019","02","01","†","-7.0","","-21.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-02","2019","02","02","†","3.0","","-17.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-03","2019","02","03","†","10.0","","-8.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-04","2019","02","04","†","14.0","","2.0","","8.0","","10.0","","0.0","","3.0","","0.0","","3.0","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-05","2019","02","05","†","3.5","","3.5","","3.5","","14.5","","0.0","","0.0","","1.0","","10.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-06","2019","02","06","†","0.0","","-7.0","","-3.5","","21.5","","0.0","","2.0","","0.6","","8.0","","1","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-07","2019","02","07","†","8.0","","-4.0","","2.0","","16.0","","0.0","","0.6","","0.0","","0.6","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-08","2019","02","08","†","-1.5","","-5.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-09","2019","02","09","†","-2.5","","-11.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-10","2019","02","10","†","-3.0","","-10.0","","-6.5","","24.5","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-11","2019","02","11","†","-3.0","","-7.0","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-12","2019","02","12","†","1.0","","-6.0","","-2.5","","20.5","","0.0","","0.0","","11.0","","35.0","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-13","2019","02","13","†","-0.5","","-4.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-14","2019","02","14","†","4.0","","-6.5","","-1.3","","19.3","","0.0","","2.2","","0.0","T","2.2","","15","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-15","2019","02","15","†","2.0","","-3.5","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","","6","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-16","2019","02","16","†","-1.0","","-8.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-17","2019","02","17","†","-5.5","","-11.0","","-8.3","","26.3","","0.0","","0.0","","6.0","","4.0","","5","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-18","2019","02","18","†","-2.0","","-10.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-19","2019","02","19","†","-3.0","","-16.5","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-20","2019","02","20","†","3.0","","-11.0","","-4.0","","22.0","","0.0","","3.4","","0.0","","3.4","","8","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-21","2019","02","21","†","5.0","","-7.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-22","2019","02","22","†","4.0","","-5.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-23","2019","02","23","†","4.0","","-4.0","","0.0","","18.0","","0.0","","8.0","","0.0","","8.0","","4","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-24","2019","02","24","†","8.0","","0.0","","4.0","","14.0","","0.0","","0.2","","1.0","","1.2","","3","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-25","2019","02","25","†","-3.5","","-7.0","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-26","2019","02","26","†","-4.0","","-11.0","","-7.5","","25.5","","0.0","","0.0","","6.0","","3.6","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-27","2019","02","27","†","-6.0","","-12.0","","-9.0","","27.0","","0.0","","0.0","","12.0","","13.2","","6","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-02-28","2019","02","28","†","-4.0","","-20.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-01","2019","03","01","†","1.0","","-14.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-02","2019","03","02","†","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","4.0","","2.6","","11","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-03","2019","03","03","†","-0.5","","-7.0","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","","14","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-04","2019","03","04","†","-6.5","","-15.0","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","","13","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-05","2019","03","05","†","-6.5","","-17.0","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","","12","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-06","2019","03","06","†","-7.0","","-16.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-07","2019","03","07","†","-3.0","","-14.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-08","2019","03","08","†","1.0","","-15.5","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-09","2019","03","09","†","5.0","","-12.5","","-3.8","","21.8","","0.0","","","M","0.0","","0.0","","10","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-10","2019","03","10","†","6.0","","-2.0","","2.0","","16.0","","0.0","","0.6","","0.0","","0.6","","6","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-11","2019","03","11","†","2.0","","0.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-12","2019","03","12","†","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-13","2019","03","13","†","4.0","","-4.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-14","2019","03","14","†","11.0","","-1.0","","5.0","","13.0","","0.0","","10.0","","0.0","","10.0","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-15","2019","03","15","†","7.5","","2.0","","4.8","","13.2","","0.0","","1.0","","0.0","T","1.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-16","2019","03","16","†","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.6","","0.6","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-17","2019","03","17","†","4.0","","-7.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-18","2019","03","18","†","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-19","2019","03","19","†","8.0","","-3.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-20","2019","03","20","†","11.0","","-2.0","","4.5","","13.5","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-21","2019","03","21","†","9.0","","1.5","","5.3","","12.7","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-22","2019","03","22","†","6.0","","1.5","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-23","2019","03","23","†","6.0","","-7.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-24","2019","03","24","†","10.0","","-5.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-25","2019","03","25","†","3.0","","-4.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-26","2019","03","26","†","4.5","","-5.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-27","2019","03","27","†","9.0","","-4.0","","2.5","","15.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-28","2019","03","28","†","13.0","","-2.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-29","2019","03","29","†","13.0","","3.0","","8.0","","10.0","","0.0","","13.0","","0.0","","13.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-30","2019","03","30","†","5.0","","1.0","","3.0","","15.0","","0.0","","17.8","","6.0","","25.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-03-31","2019","03","31","†","3.0","","-1.0","","1.0","","17.0","","0.0","","0.0","","0.0","T","0.0","","6","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-01","2019","04","01","†","4.5","","-6.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-02","2019","04","02","†","9.5","","-2.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-03","2019","04","03","†","7.5","","2.0","","4.8","","13.2","","0.0","","0.0","T","0.0","T","0.0","T","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-04","2019","04","04","†","5.5","","-2.5","","1.5","","16.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-05","2019","04","05","†","7.5","","0.5","","4.0","","14.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-06","2019","04","06","†","15.0","","0.5","","7.8","","10.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-07","2019","04","07","†","10.0","","6.0","","8.0","","10.0","","0.0","","6.4","","0.0","","6.4","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-08","2019","04","08","†","16.0","","4.0","","10.0","","8.0","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-09","2019","04","09","†","10.0","","4.5","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-10","2019","04","10","†","7.0","","0.0","","3.5","","14.5","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-11","2019","04","11","†","5.5","","-1.0","","2.3","","15.7","","0.0","","1.0","","0.0","T","1.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-12","2019","04","12","†","14.0","","-1.0","","6.5","","11.5","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-13","2019","04","13","†","16.0","","3.0","","9.5","","8.5","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-14","2019","04","14","†","5.0","","2.0","","3.5","","14.5","","0.0","","23.6","","0.0","","23.6","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-15","2019","04","15","†","10.0","","2.5","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-16","2019","04","16","†","9.0","","0.0","","4.5","","13.5","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-17","2019","04","17","†","10.5","","0.5","","5.5","","12.5","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-18","2019","04","18","†","22.5","","4.0","","13.3","","4.7","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-19","2019","04","19","†","8.0","","8.0","","8.0","","10.0","","0.0","","17.8","","0.0","","17.8","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-20","2019","04","20","†","8.5","","4.0","","6.3","","11.7","","0.0","","10.0","","0.0","","10.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-21","2019","04","21","†","13.0","","4.5","","8.8","","9.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-22","2019","04","22","†","17.0","","6.0","","11.5","","6.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-23","2019","04","23","†","15.0","","6.0","","10.5","","7.5","","0.0","","3.8","","0.0","","3.8","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-24","2019","04","24","†","15.0","","3.0","","9.0","","9.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-25","2019","04","25","†","14.0","","1.0","","7.5","","10.5","","0.0","","18.0","","0.0","","18.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-26","2019","04","26","†","14.5","","5.0","","9.8","","8.2","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-27","2019","04","27","†","8.5","","1.5","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-28","2019","04","28","†","12.5","","1.0","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2019-04-29","2019","04","29","†","6.5","","-0.5","","3.0","","15.0","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
