Population,Latitude,Longitude,Distance from Urban Center (km),Urbanization Score,Subtransect
MW001,43.550556,-79.663,25.60721179,-1.17377,Urban: Corridor
MW002,43.550225,-79.654062,24.98705092,0.0619652,Urban: Corridor
MW003,43.565106,-79.671002,25.66213384,-0.5488855,Urban: Corridor
MW004,43.567334,-79.686386,26.28588123,-0.9282644,Urban: Corridor
MW005,43.493329,-79.747541,34.76266732,-2.80108,Rural
MW006,43.438669,-79.780878,40.34831045,-0.431062,Rural
MW007,43.434493,-79.904435,48.86590276,-3.0900825,Rural
MW008,43.457451,-79.866815,45.01906409,-1.67951,Rural
MW009,43.516263,-79.77922,35.70189422,-2.37356,Rural
MW010,43.525816,-79.791571,36.15775186,-3.30879,Rural
MW011,43.589594,-79.638468,22.04480992,2.10156,Urban: Corridor
MW012,43.534585,-79.645432,25.26811188,0.4053,Urban: Corridor
MW013,43.615384,-79.570454,15.93698124,2.12016,Urban: Corridor
MW014,43.648581,-79.521463,11.35399112,1.74833,Urban: Corridor
MW015,43.661177,-79.500382,9.63737614,0.148848,Urban: Corridor
MW016,43.711948,-79.535894,13.92879297,0.113649,Urban: Non-Corridor
MW017,43.501061,-79.844567,41.19264328,-0.230729,Rural
MW018,43.484111,-79.837702,41.53200351,-0.0445896,Rural
MW019,43.41401,-79.953028,53.47318914,-3.44897,Rural
MW020,43.387612,-79.959232,55.44354834,-3.34998,Rural
MW021,43.399222,-79.930576,52.79539444,-3.55627,Rural
MW022,43.377146,-79.973861,57.07085925,-3.45963,Rural
MW023,43.371308,-79.981819,57.96584875,-3.23351,Rural
MW024,43.363349,-80.01471,60.67999432,-2.90157,Rural
MW025,43.726774,-79.432109,8.859249046,3.09467,Urban: Non-Corridor
MW026,43.719453,-79.445163,8.725651157,1.69829,Urban: Non-Corridor
MW027,43.726466,-79.445593,9.38480336,0.822976,Urban: Non-Corridor
MW028,43.713472,-79.463271,9.188664199,1.62646,Urban: Non-Corridor
MW029,43.713584,-79.475768,9.947022004,1.68161,Urban: Non-Corridor
MW030,43.71387,-79.505919,11.92943612,0.942832,Urban: Non-Corridor
MW031,43.713092,-79.515599,12.54999419,1.87618,Urban: Non-Corridor
MW032,43.66963,-79.498027,9.54746299,1.9821,Urban: Corridor
MW033,43.358912,-80.043033,62.88065091,-3.23043,Rural
MW034,43.357422,-80.052572,63.6238543,-3.48661,Rural
MW035,43.349551,-80.098407,67.25004742,-3.55182,Rural
MW036,43.321018,-80.049313,65.63064905,-3.25583,Rural
MW037,43.702158,-79.543737,14.06716905,0.219585,Urban: Non-Corridor
MW038,43.701032,-79.549473,14.45497706,1.49438,Urban: Non-Corridor
MW039,43.701432,-79.56251,15.45899407,2.30737,Urban: Non-Corridor
MW040,43.690086,-79.572325,15.86405134,1.5481,Urban: Non-Corridor
MW041,43.675131,-79.571575,15.49606286,0.524692,Urban: Non-Corridor
MW042,43.664067,-79.577284,15.83866568,2.65813,Urban: Non-Corridor
MW043,43.32296,-80.038276,64.77466368,-3.1006,Rural
MW044,43.330042,-79.995566,61.50793071,-3.07271,Rural
MW045,43.335538,-79.962974,59.03038099,-2.92002,Rural
MW046,43.343046,-79.959704,58.31438553,-2.26854,Rural
MW047,43.519441,-79.750471,33.46853545,-2.66342,Rural
MW048,43.530493,-79.738194,32.03114928,-2.76803,Rural
MW049,43.534939,-79.732912,31.43185932,0.2286,Urban: Corridor
MW050,43.535065,-79.721652,30.60852182,0.92133,Urban: Corridor
MW051,43.669676,-79.422881,3.692608662,2.67139,Urban: Corridor
MW052,43.680726,-79.411251,3.653544068,0.342993,Urban: Corridor
MW053,43.691138,-79.427943,5.418571855,1.81695,Urban: Corridor
MW054,43.67876,-79.431977,4.811403888,3.17675,Urban: Corridor
MW055,43.674579,-79.446438,5.654860321,2.4063,Urban: Corridor
MW056,43.671068,-79.452408,5.987405876,2.24942,Urban: Corridor
MW057,43.67024,-79.462135,6.722348165,2.71762,Urban: Corridor
MW058,43.671812,-79.474258,7.712759689,2.33711,Urban: Corridor
MW059,43.670454,-79.482484,8.329974759,2.36447,Urban: Corridor
MW060,43.646988,-79.583587,16.3582066,2.21586,Urban: Non-Corridor
MW061,43.654607,-79.607519,18.2525905,0.644411,Urban: Non-Corridor
MW062,43.651476,-79.617876,19.09387441,0.697666,Urban: Non-Corridor
MW063,43.63776,-79.635241,20.5911841,0.627215,Urban: Non-Corridor
MW064,43.628807,-79.652009,22.05331867,1.05287,Urban: Non-Corridor
MW065,43.626304,-79.673743,23.82638989,1.99176,Urban: Non-Corridor
MW066,43.618104,-79.701542,26.18012868,2.15347,Urban: Non-Corridor
MW067,43.613475,-79.705867,26.61251389,3.37284,Urban: Non-Corridor
MW068,43.595802,-79.719547,28.10715255,1.16536,Urban: Non-Corridor
MW069,43.553597,-79.699608,28.1203607,1.41576,Urban: Corridor
MW070,43.571026,-79.733337,29.94986825,3.02269,Urban: Non-Corridor
MW071,43.564655,-79.720469,29.20965465,1.56034,Urban: Non-Corridor
MW072,43.5789,-79.713398,28.14803987,1.55917,Urban: Non-Corridor
MW073,43.554564,-79.756834,32.35082743,1.95501,Urban: Non-Corridor
MW074,43.568721,-79.651832,23.91492691,2.71046,Urban: Corridor
MW075,43.573691,-79.63648,22.55875845,2.32931,Urban: Corridor
MW076,43.579335,-79.630017,21.82907402,1.98333,Urban: Corridor
MW077,43.589966,-79.6183,20.50695672,2.03083,Urban: Corridor
MW078,43.591194,-79.608405,19.71434731,2.16088,Urban: Corridor
MW079,43.601609,-79.583684,17.43758131,2.43357,Urban: Corridor
MW080,43.633829,-79.553119,14.0968647,2.18288,Urban: Corridor
