"","Patch_ID","Year","Average_Pollinia","City_dist","Transect_ID","Peduncles","Height_July","Area_sqm_18","Plants_present_2018","Height_Sept","Viable_Pods","Total_Pods","nPlants","Urb_score","Average_pod_length","density_sqm_18"
"1","MW001","2018",1.58888888888889,25.6072117851047,"South",10.6,97.8,15,30,97.8,14.8,15.2,5,-1.17377,NA,0.5
"2","MW001","2019",0.177777777777778,25.6072117851047,"South",4.4,86.2,15,30,68,6.2,6.8,5,-1.17377,9,0.5
"3","MW002","2018",1.37777777777778,24.987050922191,"South",9.6,91.4,10,22,91.4,12.2,12.2,5,0.0619652,NA,0.454545454545455
"4","MW002","2019",0.711111111111111,24.987050922191,"South",11,115.5,10,22,121.2,16.8,17.6,5,0.0619652,7.35666666666667,0.454545454545455
"5","MW003","2018",0.855555555555556,25.6621338359759,"South",12,143.2,3,22,143.2,17.4,18,10,-0.5488855,NA,0.136363636363636
"6","MW003","2019",1.11111111111111,25.6621338359759,"South",10.6,133.8,3,22,137,14.6,8.3,10,-0.5488855,9.48666666666667,0.136363636363636
"7","MW004","2018",1.61111111111111,26.2825772004857,"South",8,91.8,20,19.0454545454545,91.8,12.8,12.8,22,-0.9282644,NA,1.05011933174224
"8","MW004","2019",0.933333333333333,26.2825772004857,"South",9.4,88.8,20,19.0454545454545,111,15.8,4.5,22,-0.9282644,8.66666666666667,1.05011933174224
"9","MW005","2018",0.858974358974359,34.7626673242651,"Rural",10.2,103.2,9,22.25,103.2,16.8,17.4,20,-2.80108,NA,0.404494382022472
"10","MW005","2019",1.13333333333333,34.7626673242651,"Rural",NA,101.4,9,22.25,NA,NA,1,20,-2.80108,NA,0.404494382022472
"11","MW006","2018",0.978632478632479,40.3483104540275,"Rural",10.6,123.2,300,16.6666666666667,123.2,14,14.4,15,-0.431062,NA,18
"12","MW006","2019",1.46666666666667,40.3483104540275,"Rural",10.6,94.8,300,16.6666666666667,113.6,11.8,4.6,15,-0.431062,10.05,18
"13","MW007","2018",1.84583333333333,48.8667863044043,"Rural",9.8,117.8,1,28.2666666666667,117.8,12.8,13.4,15,-3.0900825,NA,0.035377358490566
"14","MW007","2019",2.42222222222222,48.8667863044043,"Rural",10.2,129.4,1,28.2666666666667,113,18.4,7.13333333333333,15,-3.0900825,9.39166666666667,0.035377358490566
"15","MW008","2018",1.33333333333333,45.0190640911002,"Rural",4.4,103.6,21,22,103.6,7.2,7.6,5,-1.67951,NA,0.954545454545455
"16","MW008","2019",0.977777777777778,45.0190640911002,"Rural",NA,102.2,21,22,NA,NA,1,5,-1.67951,NA,0.954545454545455
"17","MW009","2019",0.788888888888889,35.701894221116,"Rural",NA,96.9,21,22,NA,NA,1,5,-2.37356,NA,0.954545454545455
"18","MW011","2019",1.55555555555556,22.044809923962,"South",12,101.6,1000,3,144.6,16.8,17.8,5,2.10156,10.2446666666667,333.333333333333
"19","MW012","2018",1.86666666666667,25.2681118797278,"South",9.6,116.4,20,10,116.4,10,10.4,5,0.4053,NA,2
"20","MW012","2019",0.822222222222222,25.2681118797278,"South",9.6,119.86,20,10,117.2,17.8,18.8,5,0.4053,8.1487619047619,2
"21","MW013","2018",1.94444444444444,15.9369812417788,"South",10,104,6,10,104,12.8,13.4,5,2.12016,NA,0.6
"22","MW014","2018",0.666666666666667,11.3539911211033,"South",7.6,83.8,4000,36,83.8,7.2,7.2,5,1.74833,NA,111.111111111111
"23","MW014","2019",0.822222222222222,11.3539911211033,"South",9.6,98.8,4000,36,98.8,16.4,17,5,1.74833,10.0773333333333,111.111111111111
"24","MW015","2019",0.811111111111111,9.63737613958796,"South",5.8,99.5,12,22,90.8,9.2,9.6,5,0.148848,8.54666666666667,0.545454545454545
"25","MW016","2018",1.5,13.9287929727584,"North",6.6,94.8,100,10,94.8,6.6,6.6,5,0.113649,NA,10
"26","MW016","2019",2.08888888888889,13.9287929727584,"North",NA,111.4,100,10,NA,NA,1,5,0.113649,NA,10
"27","MW018","2018",1.625,41.5320035061599,"Rural",8.6,100.4,12,26,100.4,13.6,13.4,5,-0.0445896,NA,0.461538461538462
"28","MW018","2019",0.966666666666667,41.5320035061599,"Rural",NA,80.9,12,26,NA,NA,1,5,-0.0445896,NA,0.461538461538462
"29","MW019","2018",1.67777777777778,53.4731891361251,"Rural",9.2,108.4,18,18,108.4,6.6,6.6,5,-3.44897,NA,1
"30","MW019","2019",1.43333333333333,53.4731891361251,"Rural",12.2,130.6,18,18,128.4,2,2,5,-3.44897,NA,1
"31","MW020","2018",3.4,55.4435483441203,"Rural",10.8,122,2400,37,122,7.2,7.6,5,-3.34998,NA,64.8648648648649
"32","MW020","2019",3.12222222222222,55.4435483441203,"Rural",9.8,117,2400,37,85.6,8.6,8.4,5,-3.34998,9.63333333333333,64.8648648648649
"33","MW021","2018",2.66666666666667,52.7953944398004,"Rural",9.8,120.8,1500,37,120.8,13,13.4,5,-3.55627,NA,40.5405405405405
"34","MW021","2019",2.17777777777778,52.7953944398004,"Rural",10.2,108.2,1500,37,115.4,11.8,11.8,5,-3.55627,10.375,40.5405405405405
"35","MW026","2019",0.742222222222222,8.72565115733648,"North",8.2,92.7,160,40,91.6,15.6,16.4,5,1.69829,9.3725,4
"36","MW027","2018",2,9.38480336002964,"North",6,80.4,48,37,80.4,15.2,15.8,5,0.822976,NA,1.2972972972973
"37","MW029","2019",0.911111111111111,9.94702200379316,"North",9.6,137.2,9,16,140.8,15.2,16,5,1.68161,10.0066666666667,0.5625
"38","MW030","2019",0.555555555555556,11.9294361220938,"North",6.8,145.8,2,2,164.4,7.8,8,5,0.942832,9.65987179487179,1
"39","MW031","2019",1.04444444444444,12.5499941861896,"North",8,101.3,6000,21,96.8,13.2,13,5,1.87618,9.55,285.714285714286
"40","MW032","2018",2.02777777777778,9.54746298971845,"South",7,103,6000,24,103,17,18,5,1.9821,NA,250
"41","MW032","2019",1.13333333333333,9.54746298971845,"South",8.6,83.4,6000,24,84,14.4,16.6,5,1.9821,8.22666666666667,250
"42","MW033","2019",2.68253968253968,62.8806509103204,"Rural",NA,72.2,80,22,NA,NA,1,5,-3.23043,NA,3.63636363636364
"43","MW034","2018",3.59259259259259,63.6238543019205,"Rural",NA,NA,18850,42,NA,NA,NA,5,-3.48661,NA,448.809523809524
"44","MW034","2019",2.46666666666667,63.6238543019205,"Rural",NA,117.4,18850,42,NA,NA,1,5,-3.48661,NA,448.809523809524
"45","MW035","2018",1.85185185185185,67.2500474239397,"Rural",7.4,99.6,8000,13,99.6,9.4,9.6,5,-3.55182,NA,615.384615384615
"46","MW035","2019",1.5,67.2500474239397,"Rural",12.2,111.75,8000,13,118.8,13.2,13.6,5,-3.55182,9.02222222222222,615.384615384615
"47","MW036","2019",2.3,65.630649050805,"Rural",7.8,96.8,1800,13,100.4,13.6,13.4,5,-3.25583,9.62,138.461538461538
"48","MW037","2019",0.916666666666667,14.0671690528913,"North",NA,119.5,70,26,NA,NA,1,5,0.219585,NA,2.69230769230769
"49","MW039","2018",0.75,15.4589940728025,"North",9.8,100.6,10000,34,100.6,14.8,15.6,5,2.30737,NA,294.117647058824
"50","MW039","2019",0.844444444444444,15.4589940728025,"North",10.8,105.4,10000,34,99.4,14.8,11.8,5,2.30737,9.76875,294.117647058824
"51","MW040","2019",0.511111111111111,15.8640513430648,"North",8.8,106.4,2000,11,95.4,11.6,11.8,5,1.5481,10.3555555555556,181.818181818182
"52","MW041","2019",0.833333333333333,15.4960628619836,"North",1,84,50,35,61.2,1,1,5,0.524692,NA,1.42857142857143
"53","MW042","2018",0.666666666666667,15.8386656760841,"North",3.2,92.2,10,5,92.2,8.6,9,5,2.65813,NA,2
"54","MW044","2018",0.333333333333333,61.5079307080729,"Rural",1,60.25,450,12,60.25,1,1,5,-3.07271,NA,37.5
"55","MW044","2019",1.08333333333333,61.5079307080729,"Rural",NA,121,450,12,NA,NA,1,5,-3.07271,NA,37.5
"56","MW045","2018",1.73611111111111,59.0303809861202,"Rural",5.6,110,430,36,110,12.4,13,5,-2.92002,NA,11.9444444444444
"57","MW046","2018",1.40740740740741,58.3143855323293,"Rural",9.8,160.2,6000,31,160.2,17.8,18.4,5,-2.26854,NA,193.548387096774
"58","MW046","2019",1.33333333333333,58.3143855323293,"Rural",9.2,112.6,6000,31,115.2,13.4,14,5,-2.26854,9.73684523809524,193.548387096774
"59","MW049","2018",2.1,31.4318593230486,"South",12,93.8,40,39,93.8,17.8,18.6,5,0.2286,NA,1.02564102564103
"60","MW049","2019",0.9,31.4318593230486,"South",11,119.4,40,39,113,18.6,20.8,5,0.2286,8.43428571428571,1.02564102564103
"61","MW050","2018",2.66666666666667,30.6085218198681,"South",NA,NA,1000,37,NA,NA,NA,5,0.92133,NA,27.027027027027
"62","MW050","2019",0.666666666666667,30.6085218198681,"South",NA,92.8,1000,37,NA,NA,1,5,0.92133,NA,27.027027027027
"63","MW051","2019",0.866666666666667,3.69260866191731,"South",7.6,115.9,900,22,124.2,1.2,1.2,5,2.67139,NA,40.9090909090909
"64","MW052","2019",0.25,3.65354406837996,"South",NA,103.75,1,17,NA,NA,1,2,0.342993,NA,0.0588235294117647
"65","MW056","2019",0.666666666666667,5.98740587556773,"South",10.6,94.46,1600,26,106.2,16.6,18.4,5,2.24942,8.99452380952381,61.5384615384615
"66","MW057","2019",1.6,6.72234816456428,"South",8.2,101.24,30000,13,98,14.6,16,5,2.71762,8.69819047619048,2307.69230769231
"67","MW059","2019",1.1,8.32997475936821,"South",1,108.8,250,28,56.8,1,1,5,2.36447,NA,8.92857142857143
"68","MW061","2018",0.333333333333333,18.2525904969498,"North",8,82.8,9000,23,82.8,13.6,14,5,0.644411,NA,391.304347826087
"69","MW061","2019",0.355555555555556,18.2525904969498,"North",9.6,101.8,9000,23,103.6,17.2,15.2,5,0.644411,9.672,391.304347826087
"70","MW062","2018",1.06666666666667,19.0938744133194,"North",8.2,108.2,6000,3,108.2,10.6,10.8,5,0.697666,NA,2000
"71","MW062","2019",0.8,19.0938744133194,"North",9.4,130.6,6000,3,133.8,17.4,18,5,0.697666,9.16952380952381,2000
"72","MW064","2018",0.166666666666667,22.0533186692026,"North",9.6,86,1250,19,86,16.4,17,5,1.05287,NA,65.7894736842105
"73","MW064","2019",0.466666666666667,22.0533186692026,"North",9.8,111,1250,19,94.4,12,13.4,5,1.05287,8.09019607843137,65.7894736842105
"74","MW066","2018",1.76388888888889,26.18012867645,"North",NA,NA,20000,36,NA,NA,NA,5,2.15347,NA,555.555555555556
"75","MW066","2019",0.711111111111111,26.18012867645,"North",10.6,91.2,20000,36,95.6,14.6,16.6,5,2.15347,8.40909090909091,555.555555555556
"76","MW067","2019",0.703703703703704,26.6125138912041,"North",NA,125,64,20,NA,NA,1,5,3.37284,NA,3.2
"77","MW068","2019",0.533333333333333,28.1071525454643,"North",9.2,133.8,180,28,127.6,15.2,15.8,5,1.16536,7.59166666666667,6.42857142857143
"78","MW070","2019",1.06666666666667,29.9498682493043,"North",NA,102.1,1000,20,NA,NA,1,5,3.02269,NA,50
"79","MW071","2018",1.33333333333333,29.2096546494702,"North",NA,NA,5,5,NA,NA,NA,5,1.56034,NA,1
"80","MW071","2019",0.666666666666667,29.2096546494702,"North",NA,94,5,5,NA,NA,1,5,1.56034,NA,1
"81","MW072","2019",0.688888888888889,28.1480398703139,"North",9.2,96,8000,14,127.6,15.2,15.8,5,1.55917,9.16,571.428571428571
"82","MW073","2019",0.488888888888889,32.350827430692,"North",9.6,121.5,300,33,108.6,14.2,20.4,5,1.95501,5.84833333333333,9.09090909090909
"83","MW074","2019",0.555555555555556,23.9149269077296,"South",7.4,105,4000,7,85.4,10.8,11.4,5,2.71046,6.6,571.428571428571
"84","MW075","2019",0.305555555555556,NA,"South",NA,97,NA,NA,NA,NA,1,2,2.32931,NA,NA
"85","MW077","2018",1.37777777777778,20.5069567190536,"South",10.4,104.2,4,26,104.2,11.2,10.8,5,2.03083,NA,0.153846153846154
"86","MW077","2019",1.06666666666667,20.5069567190536,"South",NA,132.2,4,26,NA,NA,1,5,2.03083,NA,0.153846153846154
"87","MW079","2019",0.177777777777778,17.4375813140448,"South",11.2,104,15000,6,100.4,13.8,15.6,5,2.43357,7.28288888888889,2500
"88","MW080","2019",1.66666666666667,14.0968646967494,"South",5.25,96,8800,32,73.75,7,6,5,2.18288,5.62888888888889,275
