"","Patch_ID","Year","Average_Pollinia","City_dist.x","Transect_ID","Peduncles","Height_July","Area_sqm_18","Plants_present_2018","Height_Sept","Viable_Pods","Total_Pods","nPlants","Average_pod_length","density_sqm_18","X","buildings_cells","vegetation_cells","roads_cells","buildings_labels","veg_labels","Urb_score","Pop_ID","City_dist.y","Transect"
"1","MW001","2018",1.58888888888889,25.6072117851047,"South",10.6,97.8,15,30,97.8,5.75,5.75,5,NA,0.5,1,32,65,33,0.81,1.65,-1.17377,"AS001",25.60721179,"South"
"2","MW001","2019",0.177777777777778,25.6072117851047,"South",4.4,86.2,15,30,68,1.2,1.6,5,9,0.5,1,32,65,33,0.81,1.65,-1.17377,"AS001",25.60721179,"South"
"3","MW002","2018",1.37777777777778,24.987050922191,"South",9.6,91.4,10,22,91.4,4.6,4.6,5,NA,0.454545454545455,2,44,44,53,1.07,1.44,0.0619652,"AS002",24.98705092,"South"
"4","MW002","2019",0.711111111111111,24.987050922191,"South",11,115.5,10,22,121.2,4.4,4.6,5,7.35666666666667,0.454545454545455,2,44,44,53,1.07,1.44,0.0619652,"AS002",24.98705092,"South"
"5","MW003","2018",0.855555555555556,25.6621338359759,"South",12,143.2,3,22,143.2,5.2,5.2,10,NA,0.136363636363636,3,36,59,52.5,0.945,1.585,-0.5488855,"AS003",25.66213384,"South"
"6","MW003","2019",1.11111111111111,25.6621338359759,"South",10.6,133.8,3,22,137,3,1.8,10,9.48666666666667,0.136363636363636,3,36,59,52.5,0.945,1.585,-0.5488855,"AS003",25.66213384,"South"
"7","MW004","2018",1.61111111111111,26.2825772004857,"South",8,91.8,20,19.0454545454545,91.8,3.4,3.4,22,NA,1.05011933174224,4,26,62.6,49,0.84,1.624,-0.9282644,"AS005",26.285881226,"South"
"8","MW004","2019",0.933333333333333,26.2825772004857,"South",9.4,88.8,20,19.0454545454545,111,3.6,0.818181818181818,22,8.66666666666667,1.05011933174224,4,26,62.6,49,0.84,1.624,-0.9282644,"AS005",26.285881226,"South"
"9","MW005","2018",0.858974358974359,34.7626673242651,"Rural",10.2,103.2,9,22.25,103.2,4.4,4.4,20,NA,0.404494382022472,5,3.25,93.5,25.5,0.3675,1.935,-2.80108,"AS010",34.7626673225,"Rural"
"10","MW006","2018",0.978632478632479,40.3483104540275,"Rural",10.6,123.2,300,16.6666666666667,123.2,5.8,5.8,15,NA,18,6,35.3333333333333,53,53.6666666666667,0.876666666666667,1.52333333333333,-0.431062,"AS014",40.3483104533333,"Rural"
"11","MW006","2019",1.46666666666667,40.3483104540275,"Rural",10.6,94.8,300,16.6666666666667,113.6,2.6,0.866666666666667,15,10.05,18,6,35.3333333333333,53,53.6666666666667,0.876666666666667,1.52333333333333,-0.431062,"AS014",40.3483104533333,"Rural"
"12","MW007","2018",1.84583333333333,48.8667863044043,"Rural",9.8,117.8,1,28.2666666666667,117.8,7.8,7.8,15,NA,0.035377358490566,7,3,94.5,14.75,0.2425,1.945,-3.0900825,"AS017",48.865902755,"Rural"
"13","MW007","2019",2.42222222222222,48.8667863044043,"Rural",10.2,129.4,1,28.2666666666667,113,5.4,1.8,15,9.39166666666667,0.035377358490566,7,3,94.5,14.75,0.2425,1.945,-3.0900825,"AS017",48.865902755,"Rural"
"14","MW008","2018",1.33333333333333,45.0190640911002,"Rural",4.4,103.6,21,22,103.6,1.6,1.6,5,NA,0.954545454545455,8,9,70,46,0.5,1.7,-1.67951,"AS021",45.01906409,"Rural"
"15","MW009","2018",NA,35.701894221116,"Rural",4.2,66.4,21,22,66.4,1.4,1.4,5,NA,0.954545454545455,9,8,80,25,0.36,1.79,-2.37356,"AS022",35.70189422,"Rural"
"16","MW011","2018",NA,22.044809923962,"South",12.2,133.2,1000,3,133.2,4,4,5,NA,333.333333333333,11,69,15,81,1.63,1.11,2.10156,"AS024",22.04480992,"South"
"17","MW011","2019",1.55555555555556,22.044809923962,"South",12,101.6,1000,3,144.6,4.2,4.2,5,10.2446666666667,333.333333333333,11,69,15,81,1.63,1.11,2.10156,"AS024",22.04480992,"South"
"18","MW012","2018",1.86666666666667,25.2681118797278,"South",9.6,116.4,20,10,116.4,7.4,7.4,5,NA,2,12,51,45,65,1.18,1.45,0.4053,"AS025",25.26811188,"South"
"19","MW012","2019",0.822222222222222,25.2681118797278,"South",9.6,119.86,20,10,117.2,5,5,5,8.1487619047619,2,12,51,45,65,1.18,1.45,0.4053,"AS025",25.26811188,"South"
"20","MW013","2018",1.94444444444444,15.9369812417788,"South",10,104,6,10,104,8,8,5,NA,0.6,13,73,16,82,1.66,1.16,2.12016,"AS026",15.93698124,"South"
"21","MW013","2019",NA,15.9369812417788,"South",8.2,NA,6,10,105,4.4,4.8,5,9.07542857142857,0.6,13,73,16,82,1.66,1.16,2.12016,"AS026",15.93698124,"South"
"22","MW014","2018",0.666666666666667,11.3539911211033,"South",7.6,83.8,4000,36,83.8,2,2,5,NA,111.111111111111,14,68,29,87,1.62,1.29,1.74833,"AS027",11.35399112,"South"
"23","MW014","2019",0.822222222222222,11.3539911211033,"South",9.6,98.8,4000,36,98.8,4,4,5,10.0773333333333,111.111111111111,14,68,29,87,1.62,1.29,1.74833,"AS027",11.35399112,"South"
"24","MW015","2018",NA,9.63737613958796,"South",6.4,115,12,22,115,4,4,5,NA,0.545454545454545,15,43,52,72,1.1,1.52,0.148848,"AS028",9.63737614,"South"
"25","MW015","2019",0.811111111111111,9.63737613958796,"South",5.8,99.5,12,22,90.8,5,5,5,8.54666666666667,0.545454545454545,15,43,52,72,1.1,1.52,0.148848,"AS028",9.63737614,"South"
"26","MW016","2018",1.5,13.9287929727584,"North",6.6,94.8,100,10,94.8,1.4,1.4,5,NA,10,16,45,50,62,1.13,1.49,0.113649,"AS029",13.92879297,"North"
"27","MW017","2018",NA,41.19264328354,"Rural",10,114.6,8000,41,114.6,5.4,5.4,5,NA,195.121951219512,17,39,52,50,0.95,1.42,-0.230729,"AS030",41.19264328,"Rural"
"28","MW017","2019",NA,41.19264328354,"Rural",7,NA,8000,41,95.8,2.4,2.4,5,9.43333333333333,195.121951219512,17,39,52,50,0.95,1.42,-0.230729,"AS030",41.19264328,"Rural"
"29","MW018","2018",1.625,41.5320035061599,"Rural",8.6,100.4,12,26,100.4,2.6,2.6,5,NA,0.461538461538462,18,37,42,55,0.92,1.4,-0.0445896,"AS031",41.53200351,"Rural"
"30","MW019","2018",1.67777777777778,53.4731891361251,"Rural",9.2,108.4,18,18,108.4,1.6,1.6,5,NA,1,19,0,99,9,0.1,1.99,-3.44897,"AS032",53.47318914,"Rural"
"31","MW019","2019",1.43333333333333,53.4731891361251,"Rural",12.2,130.6,18,18,128.4,1,1,5,NA,1,19,0,99,9,0.1,1.99,-3.44897,"AS032",53.47318914,"Rural"
"32","MW020","2018",3.4,55.4435483441203,"Rural",10.8,122,2400,37,122,1.8,1.8,5,NA,64.8648648648649,20,0,97,12,0.1,1.97,-3.34998,"AS033",55.44354834,"Rural"
"33","MW020","2019",3.12222222222222,55.4435483441203,"Rural",9.8,117,2400,37,85.6,1.8,1.8,5,9.63333333333333,64.8648648648649,20,0,97,12,0.1,1.97,-3.34998,"AS033",55.44354834,"Rural"
"34","MW021","2018",2.66666666666667,52.7953944398004,"Rural",9.8,120.8,1500,37,120.8,3.2,3.2,5,NA,40.5405405405405,21,1,99,3,0.06,1.99,-3.55627,"AS034",52.79539444,"Rural"
"35","MW021","2019",2.17777777777778,52.7953944398004,"Rural",10.2,108.2,1500,37,115.4,2.6,2.6,5,10.375,40.5405405405405,21,1,99,3,0.06,1.99,-3.55627,"AS034",52.79539444,"Rural"
"36","MW023","2018",NA,57.965848752526,"Rural",2.2,85.2,600,18,85.2,0.6,0.6,5,NA,33.3333333333333,23,2,96,13,0.16,1.96,-3.23351,"AS036",57.96584875,"Rural"
"37","MW023","2019",NA,57.965848752526,"Rural",10,NA,600,18,76.8,2,2,5,9.35,33.3333333333333,23,2,96,13,0.16,1.96,-3.23351,"AS036",57.96584875,"Rural"
"38","MW026","2018",NA,8.72565115733648,"North",3.8,68.8,160,40,68.8,1.4,1.4,5,NA,4,26,61,23,85,1.52,1.23,1.69829,"AS039",8.725651157,"North"
"39","MW026","2019",0.742222222222222,8.72565115733648,"North",8.2,92.7,160,40,91.6,5,5,5,9.3725,4,26,61,23,85,1.52,1.23,1.69829,"AS039",8.725651157,"North"
"40","MW027","2018",2,9.38480336002964,"North",6,80.4,48,37,80.4,3.2,3.2,5,NA,1.2972972972973,27,52,37,75,1.23,1.37,0.822976,"AS040",9.38480336,"North"
"41","MW027","2019",NA,9.38480336002964,"North",2.4,NA,48,37,51.6,0,0,5,0,1.2972972972973,27,52,37,75,1.23,1.37,0.822976,"AS040",9.38480336,"North"
"42","MW028","2018",NA,9.18866419885103,"North",3.6,85.6,4000,15,85.6,1.8,1.8,5,NA,266.666666666667,28,64,21,72,1.56,1.21,1.62646,"AS041",9.188664199,"North"
"43","MW028","2019",NA,9.18866419885103,"North",10.8,NA,4000,15,106,5.8,5.8,5,8.542,266.666666666667,28,64,21,72,1.56,1.21,1.62646,"AS041",9.188664199,"North"
"44","MW029","2018",NA,9.94702200379316,"North",9,121.8,9,16,121.8,4.2,4.2,5,NA,0.5625,29,69,24,74,1.48,1.17,1.68161,"AS042",9.947022004,"North"
"45","MW029","2019",0.911111111111111,9.94702200379316,"North",9.6,137.2,9,16,140.8,4.8,4.8,5,10.0066666666667,0.5625,29,69,24,74,1.48,1.17,1.68161,"AS042",9.947022004,"North"
"46","MW030","2018",NA,11.9294361220938,"North",13.6,150,2,2,150,4.2,4.2,5,NA,1,30,51,44,90,1.35,1.44,0.942832,"AS043",11.92943612,"North"
"47","MW030","2019",0.555555555555556,11.9294361220938,"North",6.8,145.8,2,2,164.4,9.2,9.2,5,9.65987179487179,1,30,51,44,90,1.35,1.44,0.942832,"AS043",11.92943612,"North"
"48","MW031","2018",NA,12.5499941861896,"North",7.6,86.2,6000,21,86.2,2,2,5,NA,285.714285714286,31,63,18,88,1.48,1.18,1.87618,"AS044",12.54999419,"North"
"49","MW031","2019",1.04444444444444,12.5499941861896,"North",8,101.3,6000,21,96.8,2.4,2.4,5,9.55,285.714285714286,31,63,18,88,1.48,1.18,1.87618,"AS044",12.54999419,"North"
"50","MW032","2018",2.02777777777778,9.54746298971845,"South",7,103,6000,24,103,4,4,5,NA,250,32,70,21,86,1.63,1.21,1.9821,"AS045",9.54746299,"South"
"51","MW032","2019",1.13333333333333,9.54746298971845,"South",8.6,83.4,6000,24,84,5.6,6.8,5,8.22666666666667,250,32,70,21,86,1.63,1.21,1.9821,"AS045",9.54746299,"South"
"52","MW033","2018",NA,62.8806509103204,"Rural",1,59.6666666666667,80,22,59.6666666666667,0,0,5,NA,3.63636363636364,33,3,95,11,0.15,1.95,-3.23043,"AS046",62.88065091,"Rural"
"53","MW035","2018",1.85185185185185,67.2500474239397,"Rural",7.4,99.6,8000,13,99.6,3.8,3.8,5,NA,615.384615384615,35,0,100,5,0.08,2,-3.55182,"AS048",67.25004742,"Rural"
"54","MW035","2019",1.5,67.2500474239397,"Rural",12.2,111.75,8000,13,118.8,4.8,4.8,5,9.02222222222222,615.384615384615,35,0,100,5,0.08,2,-3.55182,"AS048",67.25004742,"Rural"
"55","MW036","2018",NA,65.630649050805,"Rural",7,86.4,1800,13,86.4,2.8,2.8,5,NA,138.461538461538,36,1,98,14,0.2,1.98,-3.25583,"AS049",65.63064905,"Rural"
"56","MW036","2019",2.3,65.630649050805,"Rural",7.8,96.8,1800,13,100.4,2.6,2.6,5,9.62,138.461538461538,36,1,98,14,0.2,1.98,-3.25583,"AS049",65.63064905,"Rural"
"57","MW037","2018",NA,14.0671690528913,"North",1.2,66,70,26,66,0,0,5,NA,2.69230769230769,37,45,40,50,1.18,1.4,0.219585,"AS050",14.06716905,"North"
"58","MW039","2018",0.75,15.4589940728025,"North",9.8,100.6,10000,34,100.6,4.4,4.4,5,NA,294.117647058824,39,78,11,75,1.76,1.1,2.30737,"AS052",15.45899407,"North"
"59","MW039","2019",0.844444444444444,15.4589940728025,"North",10.8,105.4,10000,34,99.4,4.6,5,5,9.76875,294.117647058824,39,78,11,75,1.76,1.1,2.30737,"AS052",15.45899407,"North"
"60","MW040","2018",NA,15.8640513430648,"North",5.4,78.8,2000,11,78.8,2.2,2.2,5,NA,181.818181818182,40,58,25,84,1.47,1.25,1.5481,"AS053",15.86405134,"North"
"61","MW040","2019",0.511111111111111,15.8640513430648,"North",8.8,106.4,2000,11,95.4,4,4,5,10.3555555555556,181.818181818182,40,58,25,84,1.47,1.25,1.5481,"AS053",15.86405134,"North"
"62","MW041","2018",NA,15.4960628619836,"North",5,92.2,50,35,92.2,3,3,5,NA,1.42857142857143,41,44,45,81,1.15,1.45,0.524692,"AS054",15.49606286,"North"
"63","MW041","2019",0.833333333333333,15.4960628619836,"North",1,84,50,35,61.2,0,0,5,NA,1.42857142857143,41,44,45,81,1.15,1.45,0.524692,"AS054",15.49606286,"North"
"64","MW042","2018",0.666666666666667,15.8386656760841,"North",3.2,92.2,10,5,92.2,2.8,2.8,5,NA,2,42,81,11,91,1.79,1.07,2.65813,"AS055",15.83866568,"North"
"65","MW042","2019",NA,15.8386656760841,"North",1,NA,10,5,59.6666666666667,0,0,5,NA,2,42,81,11,91,1.79,1.07,2.65813,"AS055",15.83866568,"North"
"66","MW044","2018",0.333333333333333,61.5079307080729,"Rural",1,60.25,450,12,60.25,0,0,5,NA,37.5,44,1,96,22,0.21,1.96,-3.07271,"AS057",61.50793071,"Rural"
"67","MW045","2018",1.73611111111111,59.0303809861202,"Rural",5.6,110,430,36,110,4.2,4.2,5,NA,11.9444444444444,45,6,93,20,0.25,1.93,-2.92002,"AS058",59.03038099,"Rural"
"68","MW046","2018",1.40740740740741,58.3143855323293,"Rural",9.8,160.2,6000,31,160.2,5.4,5.4,5,NA,193.548387096774,46,9,85,34,0.49,1.85,-2.26854,"AS059",58.31438553,"Rural"
"69","MW046","2019",1.33333333333333,58.3143855323293,"Rural",9.2,112.6,6000,31,115.2,6.8,6.8,5,9.73684523809524,193.548387096774,46,9,85,34,0.49,1.85,-2.26854,"AS059",58.31438553,"Rural"
"70","MW047","2018",NA,33.4685354488643,"Rural",9.8,85.6,2000,21,85.6,4,4,5,NA,95.2380952380952,47,6,89,20,0.45,1.89,-2.66342,"AS060",33.46853545,"Rural"
"71","MW049","2018",2.1,31.4318593230486,"South",12,93.8,40,39,93.8,8.8,8.8,5,NA,1.02564102564103,49,38,45,68,1.07,1.41,0.2286,"AS062",31.43185932,"South"
"72","MW049","2019",0.9,31.4318593230486,"South",11,119.4,40,39,113,5.6,6.8,5,8.43428571428571,1.02564102564103,49,38,45,68,1.07,1.41,0.2286,"AS062",31.43185932,"South"
"73","MW051","2018",NA,3.69260866191731,"South",11.8,101.4,900,22,101.4,4.4,4.4,5,NA,40.9090909090909,51,79,9,93,1.77,1.07,2.67139,"AS064",3.692608662,"South"
"74","MW051","2019",0.866666666666667,3.69260866191731,"South",7.6,115.9,900,22,124.2,0.2,0.2,5,NA,40.9090909090909,51,79,9,93,1.77,1.07,2.67139,"AS064",3.692608662,"South"
"75","MW056","2018",NA,5.98740587556773,"South",10.5,82.25,1600,26,82.25,7.5,7.5,5,NA,61.5384615384615,56,77,14,78,1.73,1.12,2.24942,"AS069",5.987405876,"South"
"76","MW056","2019",0.666666666666667,5.98740587556773,"South",10.6,94.46,1600,26,106.2,12,15.6,5,8.99452380952381,61.5384615384615,56,77,14,78,1.73,1.12,2.24942,"AS069",5.987405876,"South"
"77","MW057","2018",NA,6.72234816456428,"South",7.8,87.2,30000,13,87.2,6,6,5,NA,2307.69230769231,57,78,4,91,1.75,1.04,2.71762,"AS070",6.722348165,"South"
"78","MW057","2019",1.6,6.72234816456428,"South",8.2,101.24,30000,13,98,6.2,7.2,5,8.69819047619048,2307.69230769231,57,78,4,91,1.75,1.04,2.71762,"AS070",6.722348165,"South"
"79","MW059","2018",NA,8.32997475936821,"South",2,77,250,28,77,1,1,5,NA,8.92857142857143,59,79,13,86,1.68,1.13,2.36447,"AS072",8.329974759,"South"
"80","MW059","2019",1.1,8.32997475936821,"South",1,108.8,250,28,56.8,0,0,5,NA,8.92857142857143,59,79,13,86,1.68,1.13,2.36447,"AS072",8.329974759,"South"
"81","MW061","2018",0.333333333333333,18.2525904969498,"North",8,82.8,9000,23,82.8,3.6,3.6,5,NA,391.304347826087,61,38,35,73,1.22,1.34,0.644411,"AS074",18.2525905,"North"
"82","MW061","2019",0.355555555555556,18.2525904969498,"North",9.6,101.8,9000,23,103.6,5,6.6,5,9.672,391.304347826087,61,38,35,73,1.22,1.34,0.644411,"AS074",18.2525905,"North"
"83","MW062","2018",1.06666666666667,19.0938744133194,"North",8.2,108.2,6000,3,108.2,3,3,5,NA,2000,62,46,27,55,1.15,1.22,0.697666,"AS075",19.09387441,"North"
"84","MW062","2019",0.8,19.0938744133194,"North",9.4,130.6,6000,3,133.8,5,5,5,9.16952380952381,2000,62,46,27,55,1.15,1.22,0.697666,"AS075",19.09387441,"North"
"85","MW064","2018",0.166666666666667,22.0533186692026,"North",9.6,86,1250,19,86,4.2,4.2,5,NA,65.7894736842105,64,50,33,81,1.26,1.3,1.05287,"AS077",22.05331867,"North"
"86","MW064","2019",0.466666666666667,22.0533186692026,"North",9.8,111,1250,19,94.4,6,6.6,5,8.09019607843137,65.7894736842105,64,50,33,81,1.26,1.3,1.05287,"AS077",22.05331867,"North"
"87","MW066","2019",0.711111111111111,26.18012867645,"North",10.6,91.2,20000,36,95.6,6.2,6.8,5,8.40909090909091,555.555555555556,66,70,17,84,1.62,1.09,2.15347,"AS079",26.18012868,"North"
"88","MW068","2018",NA,28.1071525454643,"North",7.4,96,180,28,96,2.8,2.8,5,NA,6.42857142857143,68,61,34,71,1.45,1.32,1.16536,"AS081",28.10715255,"North"
"89","MW068","2019",0.533333333333333,28.1071525454643,"North",9.2,133.8,180,28,127.6,3.2,3.2,5,7.59166666666667,6.42857142857143,68,61,34,71,1.45,1.32,1.16536,"AS081",28.10715255,"North"
"90","MW069","2018",NA,28.1203606988092,"South",4.5,88.25,1000,20,88.25,1.25,1.25,5,NA,50,69,59,30,86,1.41,1.3,1.41576,"AS082",28.1203607,"South"
"91","MW072","2018",NA,28.1480398703139,"North",10.4,73.4,8000,14,73.4,9.2,9.2,5,NA,571.428571428571,72,70,28,71,1.62,1.28,1.55917,"AS085",28.14803987,"North"
"92","MW072","2019",0.688888888888889,28.1480398703139,"North",9.2,96,8000,14,127.6,3.2,3.2,5,9.16,571.428571428571,72,70,28,71,1.62,1.28,1.55917,"AS085",28.14803987,"North"
"93","MW073","2019",0.488888888888889,32.350827430692,"North",9.6,121.5,300,33,108.6,3.8,6.4,5,5.84833333333333,9.09090909090909,73,75,21,83,1.54,1.2,1.95501,"AS086",32.35082743,"North"
"94","MW074","2018",NA,23.9149269077296,"South",2.4,60.2,4000,7,60.2,0.4,0.4,5,NA,571.428571428571,74,82,6,86,1.8,1.04,2.71046,"AS087",23.91492691,"South"
"95","MW074","2019",0.555555555555556,23.9149269077296,"South",7.4,105,4000,7,85.4,2.6,2.6,5,6.6,571.428571428571,74,82,6,86,1.8,1.04,2.71046,"AS087",23.91492691,"South"
"96","MW077","2018",1.37777777777778,20.5069567190536,"South",10.4,104.2,4,26,104.2,2.4,2.4,5,NA,0.153846153846154,77,81,16,67,1.69,1.16,2.03083,"AS090",20.50695672,"South"
"97","MW079","2018",NA,17.4375813140448,"South",11.4,90.8,15000,6,90.8,15,15,5,NA,2500,79,79,5,65,1.78,0.97,2.43357,"AS092",17.43758131,"South"
"98","MW079","2019",0.177777777777778,17.4375813140448,"South",11.2,104,15000,6,100.4,8.8,10,5,7.28288888888889,2500,79,79,5,65,1.78,0.97,2.43357,"AS092",17.43758131,"South"
"99","MW080","2019",1.66666666666667,14.0968646967494,"South",5.25,96,8800,32,73.75,5,4,5,5.62888888888889,275,80,57,10,97,1.54,1.1,2.18288,"AS093",14.0968647,"South"
